subject,idna_subject,expiration_date,epoch
9nta.com,9nta.com,24-aug-2021,1629763200.0
9print.pl,9print.pl,16-aug-2021,1629072000.0
9xa.pl,9xa.pl,01-mar-2021,1614556800.0
a-tech.ac.th,a-tech.ac.th,30-nov-2023,1701302400.0
a1college.ca,a1college.ca,19-mar-2021,1616112000.0
a2btrans.pl,a2btrans.pl,03-aug-2021,1627948800.0
a2gir.com,a2gir.com,01-feb-2021,1612137600.0
a2zhomepaints.com,a2zhomepaints.com,17-apr-2021,1618617600.0
a85tt.com,a85tt.com,07-jun-2021,1623024000.0
aaacityremovalist.com,aaacityremovalist.com,22-dec-2021,1640131200.0
aaasolution.co.th,aaasolution.co.th,15-jan-2021,1610668800.0
aabhaassikka.com,aabhaassikka.com,04-mar-2022,1646352000.0
aagrivarta.com,aagrivarta.com,12-feb-2021,1613088000.0
aahnaturals.net,aahnaturals.net,04-sep-2021,1630713600.0
aaplindia.com,aaplindia.com,20-aug-2022,1660953600.0
aaronthompson.ug,aaronthompson.ug,01-may-2021,1619827200.0
aaryagold.com,aaryagold.com,17-may-2022,1652745600.0
aayushtechnologies.com,aayushtechnologies.com,27-sep-2023,1695772800.0
ab4hr.com,ab4hr.com,03-apr-2021,1617408000.0
abacus4maths.co.za,abacus4maths.co.za,28-may-2021,1622160000.0
abandasy.com,abandasy.com,30-mar-2021,1617062400.0
abanscarpets.com,abanscarpets.com,21-oct-2021,1634774400.0
abbasargon.com,abbasargon.com,05-may-2021,1620172800.0
abbtur-key.pl,abbtur-key.pl,07-apr-2021,1617753600.0
abcustomersupport.in,abcustomersupport.in,02-jun-2021,1622592000.0
abcxyzsuperstore.com,abcxyzsuperstore.com,01-apr-2021,1617235200.0
abdg.com,abdg.com,11-aug-2021,1628640000.0
abdzwuazduroowdufa.ru,abdzwuazduroowdufa.ru,24-aug-2021,1629763200.0
abidjancommerce.com,abidjancommerce.com,03-jun-2021,1622678400.0
abikurier.com,abikurier.com,11-may-2021,1620691200.0
abinsk.com,abinsk.com,24-sep-2021,1632441600.0
abirohokonar.pl,abirohokonar.pl,27-feb-2021,1614384000.0
abismar.com.mx,abismar.com.mx,23-jun-2021,1624406400.0
ableka.com,ableka.com,20-mar-2021,1616198400.0
abonament-oplac.com,abonament-oplac.com,30-mar-2021,1617062400.0
abosibarni.com,abosibarni.com,16-sep-2021,1631750400.0
about-preferences.host,about-preferences.host,26-jan-2021,1611619200.0
abrakasba.space,abrakasba.space,15-may-2021,1621036800.0
absr.co.za,absr.co.za,04-jun-2021,1622764800.0
abstractexplosion.com,abstractexplosion.com,21-may-2021,1621555200.0
abtech.ca,abtech.ca,29-may-2025,1748476800.0
abvtqhwodwjmi.work,abvtqhwodwjmi.work,12-sep-2021,1631404800.0
ac-info71.fr,ac-info71.fr,13-may-2021,1620864000.0
academiadotrader.net,academiadotrader.net,29-may-2021,1622246400.0
academicoverseas.net,academicoverseas.net,27-sep-2021,1632700800.0
academware.com,academware.com,02-may-2021,1619913600.0
acaiberryextreme.pl,acaiberryextreme.pl,25-aug-2021,1629849600.0
accemfsqovkd.pw,accemfsqovkd.pw,12-sep-2021,1631404800.0
accmap.cn,accmap.cn,06-aug-2021,1628208000.0
accounting-qualifications.co.za,accounting-qualifications.co.za,23-jul-2021,1626998400.0
accountingwit.ca,accountingwit.ca,13-sep-2021,1631491200.0
accreconsult.pl,accreconsult.pl,21-aug-2021,1629504000.0
acebangladesh.com,acebangladesh.com,25-feb-2021,1614211200.0
aceontheroof.com,aceontheroof.com,05-mar-2021,1614902400.0
aceprintingmaui.com,aceprintingmaui.com,20-aug-2021,1629417600.0
acghope.com,acghope.com,13-nov-2023,1699833600.0
achae.com,achae.com,23-apr-2021,1619136000.0
achar24.com,achar24.com,13-may-2021,1620864000.0
achuanchaolihai.cn,achuanchaolihai.cn,31-jan-2021,1612051200.0
acinutrilife.com,acinutrilife.com,09-apr-2021,1617926400.0
acjhwpdjhlhbncf.click,acjhwpdjhlhbncf.click,12-sep-2021,1631404800.0
aclmagazine.com.br,aclmagazine.com.br,30-mar-2021,1617062400.0
acneuro.pl,acneuro.pl,03-may-2021,1620000000.0
acontarborreguitos.com,acontarborreguitos.com,09-mar-2021,1615248000.0
acornishstudio.co.uk,acornishstudio.co.uk,19-jun-2022,1655596800.0
acpowqbvcfds677.info,acpowqbvcfds677.info,18-aug-2021,1629244800.0
acrcomponentes.com.br,acrcomponentes.com.br,24-jan-2021,1611446400.0
act-natural-sklep.pl,act-natural-sklep.pl,17-jun-2021,1623888000.0
act-natural.pl,act-natural.pl,14-may-2021,1620950400.0
actacomunicacao.com.br,actacomunicacao.com.br,16-dec-2021,1639612800.0
activeserviceprovider.com,activeserviceprovider.com,20-dec-2024,1734652800.0
